name,full_name,birth_date,age,height_cm,weight_kgs,positions,nationality,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),body_type,release_clause_euro,national_team,national_rating,national_team_position,national_jersey_number,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,positions_list,primary_position,positions_count,flag_missing_birth_date,flag_overall_gt_potential,flag_non_positive_value,flag_non_positive_wage,player_key
S. Davies,Steven Davies,1987-12-29,38.1,185.42,73.0,ST,England,64,64,425000.0,2000.0,Left,1,3,2,Stocky,744000.0,,,,,65,63,67,58,65,60,66,62,53,63,40,38,63,65,66,71,68,55,80,64,69,38,66,61,66,67,31,44,34,['ST'],ST,1,False,False,False,False,steven-davies-1987-12-29
L. Ashby-Hammond,Luca Ashby-Hammond,2001-03-25,24.8,185.42,76.2,GK,England,56,76,150000.0,1000.0,Right,1,2,1,Lean,435000.0,,,,,13,8,11,28,6,13,10,10,15,21,23,26,25,40,20,20,26,13,43,9,14,8,4,32,41,38,9,14,10,['GK'],GK,1,False,False,False,False,luca-ashby-hammond-2001-03-25
G. McEachran,George McEachran,2000-08-30,25.4,172.72,64.9,"CAM,CM",England,59,81,350000.0,6000.0,Left,1,3,3,Lean,998000.0,,,,,55,40,40,66,46,58,58,53,61,61,64,60,73,50,74,47,48,54,36,32,49,35,53,64,50,63,38,55,52,"['CAM', 'CM']",CAM,2,False,False,False,False,george-mceachran-2000-08-30
Y. Goke,郷家 友太,1999-06-10,26.6,182.88,73.9,"CM,RM,LM",Japan,61,73,425000.0,1000.0,Right,1,3,3,Lean,638000.0,,,,,56,49,44,65,50,61,49,40,57,63,65,71,63,67,63,65,57,65,66,47,44,49,58,59,47,58,55,45,32,"['CM', 'RM', 'LM']",CM,3,False,False,False,False,1999-06-10
Edercinho Sepa,Rodrigo Éder Serpa Conceição,1988-02-29,37.9,152.4,76.2,"CDM,CM",Brazil,74,74,4200000.0,22000.0,Right,1,3,2,Normal,7500000.0,,,,,42,65,73,76,71,64,53,71,77,70,74,76,68,82,68,82,68,77,69,77,66,66,70,63,70,69,81,76,68,"['CDM', 'CM']",CDM,2,False,False,False,False,rodrigo-der-serpa-concei-o-1988-02-29
A. Fleming,Andrew Fleming,1987-10-05,38.3,154.94,67.1,"CM,CDM",England,59,59,140000.0,2000.0,Right,1,3,2,Lean,245000.0,,,,,46,53,46,64,40,55,47,50,59,60,69,68,72,58,72,56,68,50,58,53,48,48,58,62,52,55,49,48,42,"['CM', 'CDM']",CM,2,False,False,False,False,andrew-fleming-1987-10-05
Y. Begraoui,Yanis Begraoui,2001-07-04,24.5,175.26,62.1,ST,France,59,81,350000.0,1000.0,Right,1,5,2,Lean,963000.0,,,,,45,68,57,41,42,62,35,50,35,51,72,76,60,65,75,51,63,70,47,47,34,17,55,49,67,55,13,18,20,['ST'],ST,1,False,False,False,False,yanis-begraoui-2001-07-04
F. Myhre,Felix Horn Myhre,1999-03-04,26.9,154.94,74.8,CDM,Norway,60,76,400000.0,1000.0,Right,1,3,2,Lean,750000.0,,,,,38,50,49,66,35,61,46,33,61,65,56,60,65,51,76,55,52,62,62,31,60,59,49,59,45,61,51,56,52,['CDM'],CDM,1,False,False,False,False,felix-horn-myhre-1999-03-04
Y. Barbet,Yoann Barbet,1993-05-10,32.7,187.96,81.2,"CB,LB",France,71,74,2500000.0,23000.0,Left,1,2,3,Normal,4900000.0,,,,,66,36,71,66,51,63,65,75,73,67,67,72,61,68,54,68,61,70,76,58,68,70,55,66,58,66,70,72,72,"['CB', 'LB']",CB,2,False,False,False,False,yoann-barbet-1993-05-10
S. Ito,伊藤 翔,1988-07-24,37.5,182.88,76.2,ST,Japan,63,63,375000.0,3000.0,Right,1,3,2,Normal,469000.0,,,,,48,66,56,44,64,48,61,55,31,59,65,66,71,70,60,69,75,79,77,59,78,21,63,42,44,62,36,12,14,['ST'],ST,1,False,False,False,False,1988-07-24
H. Weydandt,Hendrik Weydandt,1995-07-16,30.5,195.58,93.9,ST,Germany,66,73,925000.0,9000.0,Right,1,4,2,Normal,1800000.0,,,,,30,71,72,49,67,57,36,33,34,55,55,66,47,61,35,68,67,59,90,48,63,24,66,45,50,49,23,36,28,['ST'],ST,1,False,False,False,False,hendrik-weydandt-1995-07-16
V. Ramis,Victorio Gabriel Ramis,1994-07-07,31.5,154.94,77.1,"RM,ST,LM",Argentina,65,70,725000.0,4000.0,Right,1,3,3,Normal,1100000.0,,,,,52,68,64,61,58,71,56,43,47,67,71,72,69,60,65,65,67,68,64,57,63,34,68,61,57,62,45,32,30,"['RM', 'ST', 'LM']",RM,3,False,False,False,False,victorio-gabriel-ramis-1994-07-07
R. Keogh,Richard Keogh,1986-08-11,39.4,187.96,87.1,CB,Republic of Ireland,71,71,1600000.0,24000.0,Right,1,3,2,Normal,3000000.0,Republic of Ireland,74.0,RCB,20.0,52,28,73,70,23,67,33,30,65,60,62,56,47,68,59,51,72,75,76,12,68,69,50,58,38,70,72,70,71,['CB'],CB,1,False,False,False,False,richard-keogh-1986-08-11
J. Lunney,Jonathan Lunney,1998-02-02,28.0,175.26,69.9,"CM,CDM",Republic of Ireland,58,71,240000.0,1000.0,Left,1,3,3,Normal,522000.0,,,,,52,50,44,61,48,59,50,52,54,57,68,67,78,50,76,53,53,67,51,54,39,53,55,56,51,56,44,52,47,"['CM', 'CDM']",CM,2,False,False,False,False,jonathan-lunney-1998-02-02
